nitrogen,phosphorus,potassium,rainfall,temperature,soil,season,irrigation,label
19,15,99,87,19,sandy,zaid,no,rice
95,97,65,198,16,loamy,kharif,yes,rice
92,87,34,262,22,sandy,rabi,no,maize
75,23,28,289,18,sandy,zaid,no,rice
19,59,77,173,28,clay,zaid,no,cotton
36,29,53,115,34,clay,rabi,no,sugarcane
36,52,33,206,21,loamy,rabi,yes,cotton
12,53,77,219,34,clay,kharif,yes,wheat
42,50,92,62,36,clay,kharif,yes,wheat
84,69,67,274,21,sandy,rabi,yes,sugarcane
81,25,56,246,29,sandy,rabi,yes,wheat
23,55,15,263,18,sandy,rabi,no,wheat
21,41,69,171,25,clay,kharif,yes,cotton
83,80,51,56,29,sandy,zaid,no,cotton
96,25,81,84,39,clay,zaid,yes,maize
73,88,17,229,32,clay,rabi,no,wheat
71,78,13,169,40,sandy,zaid,no,wheat
63,15,52,148,20,clay,kharif,no,wheat
99,97,60,207,25,loamy,rabi,no,sugarcane
17,27,40,224,39,loamy,rabi,yes,rice
56,12,100,257,23,loamy,rabi,yes,rice
55,43,50,300,18,clay,kharif,yes,wheat
31,73,46,76,19,sandy,kharif,yes,wheat
81,14,79,154,39,sandy,rabi,no,rice
55,62,32,216,19,clay,rabi,no,sugarcane
75,23,16,207,22,clay,zaid,no,cotton
63,66,100,150,28,sandy,rabi,yes,wheat
39,12,76,254,29,sandy,rabi,yes,wheat
85,43,83,237,18,clay,zaid,no,sugarcane
84,51,30,133,22,sandy,kharif,yes,sugarcane
76,14,12,211,17,loamy,zaid,no,wheat
29,74,58,218,23,loamy,kharif,yes,rice
48,89,24,81,15,clay,rabi,no,maize
55,93,20,164,17,sandy,kharif,yes,wheat
60,94,85,295,15,clay,kharif,yes,maize
72,28,17,122,35,clay,zaid,no,wheat
33,41,85,71,19,sandy,zaid,yes,sugarcane
87,88,32,166,34,sandy,kharif,yes,rice
75,27,83,278,29,loamy,rabi,yes,cotton
54,23,30,111,27,clay,rabi,no,sugarcane
36,27,99,84,38,clay,rabi,yes,rice
70,43,64,143,16,clay,rabi,yes,rice
46,80,89,213,33,sandy,zaid,no,maize
83,55,81,61,34,loamy,rabi,no,wheat
95,91,96,107,36,sandy,rabi,no,maize
97,96,79,295,37,clay,kharif,yes,cotton
49,52,12,85,31,clay,kharif,yes,sugarcane
60,49,100,293,27,loamy,rabi,no,rice
79,74,68,230,32,clay,zaid,yes,cotton
21,22,23,151,18,sandy,rabi,yes,maize
12,59,62,169,33,loamy,zaid,no,cotton
52,75,59,94,37,sandy,zaid,yes,cotton
94,85,38,161,23,loamy,zaid,no,sugarcane
26,65,84,229,26,clay,kharif,yes,sugarcane
70,62,55,300,26,clay,zaid,no,cotton
57,99,40,85,15,sandy,kharif,yes,wheat
44,94,83,118,39,clay,rabi,yes,maize
81,17,23,130,28,loamy,kharif,yes,sugarcane
35,18,93,77,16,loamy,rabi,no,cotton
62,25,85,210,25,sandy,rabi,no,rice
29,60,69,116,15,clay,zaid,yes,cotton
14,40,20,65,40,clay,zaid,yes,cotton
27,81,77,252,21,sandy,kharif,yes,rice
41,31,73,141,21,clay,kharif,no,wheat
33,54,71,256,25,sandy,rabi,no,maize
57,48,10,258,23,loamy,kharif,yes,wheat
21,72,49,185,31,sandy,kharif,yes,cotton
89,87,68,84,17,sandy,zaid,no,cotton
68,49,63,209,21,sandy,rabi,yes,sugarcane
43,90,20,68,29,loamy,zaid,no,maize
52,60,77,132,27,sandy,kharif,no,sugarcane
83,90,73,129,26,loamy,rabi,yes,sugarcane
12,57,68,164,25,sandy,zaid,no,rice
78,14,60,123,20,clay,kharif,no,wheat
33,49,83,106,18,clay,kharif,no,sugarcane
89,53,68,116,22,clay,rabi,no,cotton
72,21,81,229,31,loamy,zaid,no,rice
80,52,82,158,30,sandy,kharif,no,cotton
47,20,42,165,16,clay,zaid,yes,wheat
87,77,56,235,22,clay,kharif,no,maize
91,40,20,175,36,sandy,kharif,no,wheat
36,63,26,225,35,sandy,zaid,yes,sugarcane
47,62,69,222,37,sandy,rabi,no,maize
28,94,56,241,33,loamy,rabi,no,cotton
57,99,91,279,17,loamy,rabi,no,maize
85,48,68,104,22,clay,kharif,yes,sugarcane
92,12,44,177,36,clay,zaid,no,cotton
32,64,82,229,35,loamy,zaid,yes,cotton
14,22,86,193,26,sandy,kharif,yes,maize
77,55,72,52,17,clay,zaid,no,rice
14,47,13,155,29,loamy,zaid,yes,wheat
30,64,88,208,33,loamy,kharif,yes,maize
28,72,45,141,28,sandy,zaid,yes,sugarcane
38,89,52,271,39,sandy,rabi,no,wheat
57,17,63,62,23,sandy,kharif,no,rice
66,41,78,249,40,clay,zaid,yes,cotton
10,51,64,297,37,clay,kharif,no,maize
78,22,11,161,38,loamy,zaid,no,wheat
63,96,72,62,17,sandy,zaid,no,wheat
86,39,94,292,29,clay,zaid,no,rice
97,47,86,292,25,clay,rabi,no,sugarcane
54,67,68,238,24,clay,kharif,no,rice
50,67,85,113,31,clay,zaid,no,maize
78,25,95,153,36,loamy,kharif,no,wheat
98,52,36,97,26,clay,zaid,yes,sugarcane
99,10,22,154,23,sandy,rabi,no,wheat
55,38,27,240,31,loamy,kharif,no,sugarcane
66,43,84,191,20,sandy,rabi,no,sugarcane
90,91,32,168,36,loamy,kharif,yes,maize
52,57,95,184,35,sandy,rabi,no,maize
83,52,81,255,34,sandy,rabi,no,cotton
43,86,25,127,38,sandy,kharif,yes,rice
11,95,15,231,30,loamy,kharif,yes,maize
45,40,92,294,29,loamy,zaid,no,maize
28,22,25,118,35,clay,zaid,yes,rice
11,95,86,252,27,sandy,kharif,yes,wheat
19,30,66,178,23,clay,rabi,no,sugarcane
46,46,27,281,35,loamy,zaid,no,wheat
99,60,50,214,22,loamy,zaid,yes,maize
24,47,71,288,36,loamy,rabi,yes,wheat
17,21,16,97,30,sandy,kharif,no,sugarcane
88,95,84,99,16,clay,rabi,no,sugarcane
65,49,53,62,23,loamy,kharif,yes,maize
29,88,68,284,22,sandy,zaid,yes,cotton
79,37,49,178,27,loamy,zaid,no,rice
15,87,94,196,21,clay,zaid,yes,cotton
55,99,20,189,20,loamy,kharif,no,rice
34,91,55,80,21,sandy,rabi,no,sugarcane
20,94,89,270,30,clay,zaid,yes,wheat
33,20,18,164,37,clay,rabi,yes,maize
63,73,52,188,28,clay,rabi,no,cotton
35,82,76,80,28,loamy,rabi,yes,rice
99,36,75,122,29,clay,zaid,no,sugarcane
58,15,64,103,33,sandy,zaid,no,cotton
72,59,44,119,24,clay,rabi,yes,wheat
59,14,16,62,36,loamy,kharif,no,maize
14,81,39,139,21,loamy,rabi,yes,maize
86,57,11,225,15,clay,kharif,yes,rice
47,18,50,283,31,clay,zaid,yes,cotton
78,16,46,138,27,clay,rabi,yes,wheat
64,30,66,173,29,loamy,kharif,yes,cotton
19,72,74,197,19,clay,kharif,no,wheat
81,38,37,104,24,clay,zaid,yes,sugarcane
43,100,97,68,25,clay,rabi,yes,wheat
11,63,96,162,37,loamy,kharif,no,cotton
19,40,32,175,21,sandy,rabi,yes,cotton
98,48,61,109,27,sandy,zaid,no,sugarcane
24,87,84,206,37,loamy,rabi,yes,sugarcane
75,96,52,122,32,clay,rabi,yes,sugarcane
85,58,89,58,18,loamy,kharif,no,maize
11,90,86,185,23,clay,rabi,no,wheat
59,36,75,261,16,loamy,rabi,no,wheat
75,100,55,259,39,loamy,kharif,no,rice
49,91,10,71,20,clay,kharif,no,maize
21,85,36,249,37,sandy,zaid,yes,cotton
29,64,95,113,26,clay,kharif,no,rice
74,89,61,202,40,loamy,zaid,yes,cotton
59,64,67,201,26,sandy,kharif,no,rice
59,20,41,148,28,sandy,rabi,yes,maize
98,60,24,231,31,sandy,rabi,no,rice
57,57,84,69,22,clay,zaid,yes,wheat
49,63,69,207,19,clay,zaid,yes,maize
76,55,10,81,22,loamy,zaid,no,rice
55,50,47,191,30,loamy,kharif,no,rice
27,17,99,71,26,clay,kharif,no,sugarcane
74,13,74,132,38,loamy,kharif,no,rice
67,33,95,142,37,clay,zaid,yes,maize
74,39,34,156,19,loamy,rabi,no,maize
86,52,16,187,17,loamy,rabi,no,rice
86,32,26,127,23,loamy,zaid,yes,maize
74,62,57,63,36,clay,kharif,yes,rice
15,98,32,111,18,clay,zaid,no,sugarcane
100,53,93,129,25,clay,zaid,yes,rice
88,89,66,299,38,sandy,kharif,yes,sugarcane
20,75,12,141,29,clay,zaid,no,cotton
44,90,63,75,34,sandy,zaid,no,rice
43,27,32,129,16,clay,zaid,yes,cotton
75,24,94,177,18,loamy,zaid,no,cotton
72,39,84,283,15,sandy,zaid,yes,maize
89,35,100,144,24,loamy,kharif,yes,cotton
21,95,86,92,21,loamy,rabi,no,cotton
50,16,34,289,34,sandy,zaid,no,maize
64,89,74,61,16,sandy,zaid,yes,sugarcane
27,86,77,225,29,sandy,rabi,yes,cotton
89,10,63,189,22,loamy,zaid,no,maize
79,88,56,252,38,loamy,zaid,no,cotton
85,74,19,68,40,sandy,kharif,yes,rice
58,96,57,68,38,clay,zaid,yes,sugarcane
91,72,68,142,29,clay,kharif,no,maize
18,58,66,136,24,loamy,kharif,no,maize
10,94,53,74,38,loamy,rabi,yes,rice
32,57,92,242,15,sandy,rabi,no,rice
82,78,31,66,19,clay,kharif,yes,wheat
60,29,78,186,31,clay,rabi,yes,cotton
38,75,34,251,39,clay,kharif,no,maize
62,48,24,150,23,sandy,zaid,yes,cotton
66,12,78,246,30,clay,rabi,yes,maize
27,81,90,130,32,loamy,kharif,no,cotton
51,53,55,253,27,loamy,kharif,yes,sugarcane
13,15,12,254,27,clay,zaid,no,wheat
92,80,58,122,15,loamy,rabi,yes,rice
76,66,45,105,29,sandy,zaid,yes,maize
50,58,82,235,15,loamy,rabi,no,cotton
15,54,66,170,24,clay,zaid,yes,rice
69,69,26,258,15,loamy,rabi,no,maize
37,70,100,276,18,sandy,kharif,yes,rice
10,18,46,208,32,sandy,kharif,no,sugarcane
82,35,66,222,37,sandy,rabi,no,sugarcane
56,94,51,208,39,loamy,kharif,no,sugarcane
57,61,19,280,32,loamy,zaid,no,maize
76,97,38,242,35,clay,rabi,yes,wheat
70,67,33,266,24,clay,rabi,no,maize
49,46,39,164,26,clay,kharif,no,maize
39,72,11,185,16,clay,zaid,yes,cotton
47,71,81,103,16,clay,rabi,yes,cotton
69,46,99,199,20,sandy,rabi,no,wheat
22,52,83,91,24,sandy,kharif,yes,cotton
37,11,34,214,34,loamy,rabi,yes,maize
17,16,22,246,38,clay,kharif,yes,sugarcane
16,72,86,109,26,sandy,kharif,no,cotton
66,65,27,235,26,clay,rabi,yes,rice
74,14,57,132,37,sandy,rabi,no,wheat
22,24,90,237,36,sandy,rabi,no,maize
64,94,18,178,30,sandy,zaid,yes,cotton
62,15,48,76,21,sandy,rabi,no,wheat
51,10,45,102,40,loamy,kharif,yes,wheat
73,40,51,119,40,sandy,kharif,no,maize
46,55,94,78,40,clay,zaid,no,sugarcane
57,19,10,272,15,loamy,zaid,yes,wheat
52,67,33,102,32,loamy,kharif,no,rice
92,50,39,287,37,sandy,kharif,no,cotton
85,18,78,122,35,loamy,kharif,yes,cotton
81,81,31,98,22,loamy,kharif,no,wheat
95,21,32,188,15,clay,kharif,no,sugarcane
12,14,68,160,28,clay,rabi,yes,maize
45,67,98,91,39,clay,rabi,no,wheat
86,53,88,242,36,clay,zaid,no,sugarcane
75,22,95,288,18,sandy,rabi,yes,wheat
20,28,63,250,31,clay,rabi,no,wheat
77,29,19,247,38,clay,rabi,no,maize
84,21,10,139,30,loamy,rabi,no,maize
63,99,71,190,15,clay,zaid,no,cotton
54,32,41,283,38,sandy,rabi,no,sugarcane
55,66,36,64,37,clay,rabi,no,cotton
23,84,32,291,22,clay,rabi,yes,cotton
39,87,42,284,24,loamy,rabi,yes,cotton
67,76,18,112,29,sandy,rabi,no,rice
17,84,67,108,16,sandy,rabi,yes,sugarcane
81,68,46,251,19,clay,zaid,yes,maize
49,98,90,233,23,sandy,rabi,yes,wheat
68,45,45,149,23,loamy,rabi,no,rice
83,20,90,254,35,clay,zaid,no,sugarcane
83,39,81,53,18,loamy,rabi,yes,wheat
55,24,100,100,16,clay,rabi,no,cotton
55,16,63,278,40,loamy,rabi,yes,rice
25,71,56,287,32,clay,kharif,yes,rice
63,41,13,112,25,sandy,zaid,no,wheat
30,91,68,100,30,sandy,kharif,yes,maize
11,32,98,186,39,clay,kharif,yes,maize
76,26,14,285,25,sandy,rabi,yes,wheat
79,80,43,217,38,loamy,rabi,no,maize
29,13,30,121,17,loamy,zaid,no,maize
56,61,90,138,27,clay,zaid,no,sugarcane
88,84,72,272,37,clay,kharif,no,cotton
92,99,48,85,22,sandy,rabi,no,wheat
18,57,49,135,26,sandy,zaid,yes,rice
98,21,90,126,23,loamy,kharif,yes,cotton
30,50,45,143,38,loamy,zaid,yes,sugarcane
81,75,42,239,35,loamy,zaid,yes,sugarcane
44,92,48,129,32,loamy,rabi,yes,sugarcane
26,100,17,60,39,clay,kharif,yes,rice
91,18,83,269,25,loamy,zaid,no,rice
52,14,33,51,15,loamy,zaid,no,sugarcane
44,36,40,251,36,sandy,zaid,no,wheat
98,21,59,51,17,loamy,zaid,no,wheat
100,73,89,226,38,loamy,zaid,yes,wheat
17,66,52,114,36,sandy,kharif,yes,wheat
10,33,83,240,27,loamy,rabi,yes,rice
23,54,52,101,33,clay,rabi,no,rice
28,95,20,74,33,clay,kharif,no,cotton
37,67,80,222,30,loamy,zaid,yes,rice
39,24,34,220,36,loamy,rabi,no,wheat
62,81,94,275,22,sandy,rabi,yes,cotton
52,91,86,263,33,loamy,kharif,yes,wheat
39,20,60,187,26,loamy,rabi,yes,rice
88,24,39,173,39,clay,zaid,no,maize
76,62,36,110,33,loamy,zaid,yes,cotton
13,62,77,292,40,loamy,zaid,no,sugarcane
85,19,24,240,23,loamy,kharif,yes,maize
91,47,97,291,29,sandy,zaid,no,maize
43,38,25,98,36,loamy,rabi,yes,sugarcane
67,77,68,172,27,clay,zaid,yes,cotton
25,45,12,175,16,loamy,kharif,no,wheat
87,77,70,255,21,sandy,kharif,no,rice
79,65,76,164,34,clay,rabi,yes,cotton
82,87,76,240,31,loamy,zaid,no,cotton
88,14,78,90,29,sandy,rabi,no,sugarcane
78,63,15,181,17,sandy,kharif,no,cotton
96,65,79,222,39,clay,kharif,yes,cotton
23,73,54,268,34,sandy,zaid,no,rice
49,52,28,220,16,loamy,kharif,yes,sugarcane
53,74,16,239,35,clay,kharif,no,wheat
97,91,73,194,24,sandy,zaid,no,cotton
88,87,89,284,32,sandy,zaid,no,sugarcane
47,95,28,81,29,clay,zaid,no,cotton
13,70,20,93,39,clay,kharif,yes,maize
99,92,38,185,28,loamy,rabi,no,sugarcane
79,78,100,269,24,clay,kharif,yes,maize
37,70,71,292,35,sandy,rabi,yes,wheat
36,14,95,214,29,clay,zaid,yes,cotton
32,91,13,239,28,loamy,kharif,yes,wheat
24,33,30,90,17,sandy,zaid,yes,wheat
52,81,72,67,22,sandy,rabi,no,cotton
18,45,45,168,30,sandy,zaid,no,wheat
10,55,73,221,37,clay,kharif,no,sugarcane
36,100,97,190,26,sandy,zaid,yes,rice
87,12,71,201,25,clay,rabi,no,cotton
91,41,42,177,15,clay,rabi,no,rice
63,57,100,296,36,loamy,kharif,yes,maize
64,83,80,104,29,loamy,kharif,no,maize
31,12,25,226,17,loamy,rabi,yes,sugarcane
55,64,81,196,31,loamy,rabi,yes,rice
69,98,79,95,30,sandy,zaid,yes,maize
75,26,19,55,35,loamy,zaid,yes,cotton
12,75,57,212,28,clay,rabi,yes,maize
74,10,24,170,25,sandy,zaid,yes,wheat
75,35,11,186,36,clay,zaid,yes,sugarcane
18,98,64,121,32,loamy,rabi,no,sugarcane
100,76,44,229,36,clay,rabi,no,maize
10,73,17,188,37,loamy,rabi,no,cotton
14,51,81,287,27,clay,rabi,no,sugarcane
74,29,43,56,28,clay,kharif,yes,cotton
74,70,53,61,26,sandy,kharif,yes,maize
26,19,23,152,30,loamy,zaid,yes,maize
94,92,39,155,32,clay,zaid,no,rice
30,96,72,193,25,loamy,zaid,no,wheat
46,59,60,74,16,clay,rabi,no,cotton
74,72,32,158,30,clay,kharif,yes,cotton
43,46,85,244,29,clay,kharif,yes,cotton
88,10,97,130,31,clay,zaid,yes,rice
13,56,24,131,32,clay,rabi,no,rice
79,51,74,83,15,clay,rabi,yes,rice
46,80,53,93,32,loamy,rabi,yes,maize
82,90,85,214,25,clay,rabi,yes,rice
61,88,71,184,39,loamy,zaid,yes,rice
62,41,78,89,25,loamy,kharif,yes,maize
49,52,68,225,22,loamy,zaid,no,wheat
47,78,56,195,36,sandy,kharif,no,cotton
77,34,77,167,33,loamy,zaid,no,maize
80,98,87,218,32,clay,zaid,yes,sugarcane
54,73,10,186,16,clay,kharif,yes,wheat
10,12,67,157,32,sandy,kharif,yes,maize
21,97,66,259,17,loamy,rabi,no,cotton
64,62,71,140,23,loamy,zaid,yes,maize
54,20,96,175,15,loamy,kharif,yes,wheat
83,85,69,232,26,clay,zaid,yes,wheat
38,63,82,172,30,sandy,kharif,no,rice
90,59,62,252,28,loamy,zaid,yes,maize
66,88,44,64,26,sandy,zaid,no,cotton
55,73,64,99,24,loamy,kharif,yes,maize
96,86,32,173,34,loamy,rabi,no,maize
94,37,12,50,38,clay,kharif,no,cotton
93,51,61,234,31,sandy,zaid,yes,maize
57,33,16,300,35,clay,zaid,no,wheat
70,19,62,206,38,loamy,rabi,no,cotton
92,100,78,177,22,clay,kharif,no,maize
30,30,73,282,33,loamy,rabi,no,wheat
50,44,41,195,34,sandy,rabi,no,cotton
46,24,17,204,16,loamy,kharif,no,wheat
17,89,50,187,19,sandy,rabi,no,rice
21,96,93,288,18,clay,zaid,no,wheat
44,68,18,132,24,clay,zaid,yes,maize
33,36,54,100,40,loamy,rabi,yes,rice
38,25,95,90,36,sandy,rabi,no,wheat
99,48,67,55,24,clay,zaid,yes,rice
65,22,96,81,16,sandy,zaid,no,cotton
70,65,12,63,17,clay,zaid,no,maize
55,89,63,78,33,loamy,zaid,no,wheat
50,23,40,64,18,loamy,zaid,yes,cotton
16,69,87,155,27,clay,rabi,yes,sugarcane
26,18,80,255,30,sandy,kharif,no,cotton
89,38,40,79,18,sandy,rabi,yes,sugarcane
34,41,33,109,34,loamy,kharif,yes,sugarcane
86,82,22,146,35,loamy,rabi,yes,cotton
73,86,72,295,33,clay,rabi,no,maize
76,47,58,289,30,loamy,rabi,yes,rice
87,83,24,56,35,sandy,zaid,no,maize
92,65,40,212,35,loamy,zaid,yes,wheat
24,17,43,212,29,loamy,kharif,yes,maize
19,16,31,123,27,clay,kharif,yes,cotton
32,24,65,207,25,loamy,kharif,no,wheat
90,47,98,230,33,clay,zaid,no,maize
73,74,10,277,37,sandy,zaid,yes,wheat
90,78,83,87,20,clay,zaid,yes,wheat
24,13,94,231,37,sandy,kharif,no,rice
87,53,66,94,37,sandy,kharif,yes,maize
18,78,75,56,26,sandy,kharif,no,sugarcane
52,94,21,70,27,loamy,zaid,no,cotton
37,90,14,129,40,loamy,kharif,no,rice
49,52,86,246,16,loamy,rabi,yes,sugarcane
16,70,63,257,24,sandy,rabi,no,sugarcane
60,95,98,298,23,clay,rabi,no,sugarcane
25,46,24,168,23,clay,kharif,no,cotton
52,33,90,285,32,loamy,zaid,yes,maize
54,55,42,78,19,loamy,rabi,yes,cotton
49,34,93,300,32,loamy,rabi,yes,rice
63,68,34,246,29,loamy,kharif,yes,maize
98,12,90,246,35,clay,kharif,yes,sugarcane
57,18,63,207,16,clay,zaid,no,sugarcane
53,25,71,104,36,clay,kharif,no,wheat
30,53,95,106,25,loamy,kharif,yes,wheat
100,61,10,272,29,loamy,rabi,yes,wheat
41,45,19,117,24,sandy,zaid,no,rice
48,89,24,242,39,sandy,zaid,yes,wheat
16,21,36,142,17,loamy,rabi,yes,sugarcane
32,93,50,234,32,loamy,zaid,no,wheat
47,30,41,300,21,sandy,zaid,yes,maize
22,69,11,202,26,sandy,zaid,yes,wheat
93,42,63,192,36,clay,kharif,no,wheat
78,61,86,166,34,sandy,rabi,no,sugarcane
72,63,84,97,29,loamy,zaid,no,wheat
64,89,53,246,24,clay,kharif,yes,sugarcane
34,10,95,244,18,loamy,kharif,yes,wheat
71,68,44,286,23,sandy,rabi,yes,rice
30,64,66,239,24,clay,kharif,no,sugarcane
60,59,38,294,32,loamy,kharif,no,cotton
33,50,48,109,26,sandy,kharif,yes,wheat
12,34,35,221,28,sandy,rabi,no,rice
60,95,78,65,38,sandy,rabi,yes,wheat
44,97,78,65,31,loamy,zaid,yes,wheat
18,47,27,273,28,sandy,zaid,yes,maize
68,39,28,114,20,clay,rabi,yes,cotton
92,82,22,172,32,sandy,rabi,no,maize
51,75,14,289,36,sandy,kharif,no,rice
47,11,92,251,34,sandy,rabi,yes,maize
59,34,61,253,33,clay,zaid,yes,sugarcane
86,34,75,162,33,sandy,rabi,no,wheat
16,27,51,67,37,loamy,kharif,yes,maize
47,45,99,254,31,loamy,rabi,yes,sugarcane
37,35,99,203,36,loamy,rabi,yes,rice
18,18,18,293,16,clay,rabi,no,cotton
89,52,43,174,18,sandy,kharif,yes,sugarcane
65,65,34,275,17,sandy,zaid,yes,maize
10,67,63,149,30,clay,rabi,no,sugarcane
95,64,99,62,38,sandy,zaid,no,rice
99,26,28,264,36,sandy,kharif,no,rice
33,68,15,150,36,loamy,kharif,no,cotton
23,70,60,202,29,loamy,rabi,yes,wheat
66,31,25,133,22,loamy,rabi,no,wheat
96,53,58,84,30,sandy,zaid,no,sugarcane
11,44,79,78,16,loamy,kharif,no,rice
15,54,67,117,15,sandy,kharif,no,sugarcane
89,33,72,289,18,sandy,zaid,yes,maize
63,28,54,135,19,loamy,kharif,no,rice
40,45,52,205,23,sandy,zaid,yes,rice
99,38,78,122,32,clay,zaid,no,cotton
35,88,36,119,37,loamy,kharif,yes,rice
89,63,20,154,31,loamy,rabi,yes,maize
46,21,16,203,30,loamy,rabi,no,rice
89,76,45,89,28,clay,rabi,yes,sugarcane
51,70,30,244,39,sandy,kharif,yes,cotton
55,97,93,98,23,clay,kharif,no,wheat
73,87,22,118,39,sandy,zaid,no,wheat
99,64,41,51,26,clay,zaid,yes,rice
21,53,44,185,24,sandy,kharif,yes,cotton
60,24,87,268,16,clay,rabi,no,rice
45,34,40,284,38,clay,rabi,yes,sugarcane
41,81,36,288,32,loamy,zaid,yes,cotton
30,62,45,167,29,clay,rabi,no,maize
56,58,55,226,28,loamy,zaid,no,maize
35,32,95,113,38,sandy,rabi,no,cotton
81,86,45,74,22,clay,zaid,no,cotton
75,27,53,124,20,loamy,rabi,no,maize
35,51,11,158,23,sandy,rabi,yes,maize
26,82,32,155,39,loamy,kharif,no,cotton
21,23,19,98,35,clay,kharif,yes,rice
39,22,32,123,16,loamy,kharif,yes,wheat
26,92,72,65,24,loamy,kharif,no,maize
67,53,17,198,30,loamy,kharif,yes,maize
98,57,46,243,23,sandy,kharif,no,rice
22,27,38,300,37,loamy,zaid,yes,rice
87,83,90,64,36,loamy,kharif,no,rice
89,97,66,298,20,loamy,kharif,no,cotton
59,74,42,274,28,clay,zaid,no,wheat
67,52,52,189,15,loamy,zaid,no,sugarcane
83,76,70,183,25,sandy,kharif,no,cotton
71,36,34,182,28,sandy,kharif,no,sugarcane
43,33,21,125,37,clay,kharif,no,rice
13,87,83,172,34,loamy,zaid,yes,rice
67,11,18,157,18,sandy,kharif,no,wheat
78,71,49,203,37,loamy,rabi,no,rice
45,10,62,296,30,loamy,kharif,no,maize
84,18,37,225,16,loamy,zaid,yes,wheat
19,59,16,114,35,loamy,zaid,yes,wheat
33,23,96,133,20,sandy,kharif,no,sugarcane
73,14,94,87,39,loamy,zaid,yes,sugarcane
96,70,66,239,26,loamy,rabi,yes,sugarcane
94,77,65,67,29,sandy,zaid,yes,wheat
80,32,33,109,18,clay,rabi,no,wheat
76,23,64,252,32,sandy,zaid,no,maize
73,89,39,96,23,sandy,zaid,yes,sugarcane
92,32,18,148,25,sandy,kharif,no,sugarcane
69,37,41,240,34,loamy,rabi,yes,rice
24,84,46,204,36,sandy,kharif,yes,wheat
42,13,29,173,17,loamy,kharif,yes,cotton
51,81,44,226,26,loamy,kharif,yes,maize
80,57,97,124,16,loamy,kharif,no,sugarcane
48,40,79,127,23,sandy,zaid,yes,wheat
69,71,78,71,35,clay,kharif,no,sugarcane
33,47,88,81,15,clay,kharif,no,rice
98,46,99,300,35,loamy,rabi,yes,cotton
71,28,77,165,33,clay,kharif,yes,cotton
69,36,83,182,22,sandy,kharif,no,cotton
25,80,39,145,31,clay,kharif,yes,rice
67,43,14,198,36,clay,rabi,yes,cotton
52,64,96,66,39,loamy,kharif,yes,sugarcane
65,44,91,253,15,loamy,kharif,yes,rice
50,97,15,98,23,sandy,zaid,yes,maize
23,12,14,97,28,sandy,zaid,yes,wheat
82,94,29,188,35,clay,zaid,no,cotton
16,87,59,240,16,clay,kharif,yes,cotton
93,71,22,243,34,clay,kharif,yes,wheat
52,80,23,140,25,loamy,zaid,yes,wheat
41,13,85,248,20,loamy,kharif,yes,maize
79,88,16,87,21,sandy,kharif,no,wheat
80,73,65,137,25,clay,rabi,yes,wheat
80,50,38,117,39,loamy,zaid,no,maize
50,20,48,166,33,sandy,zaid,yes,maize
78,27,57,235,19,loamy,rabi,no,rice
51,18,21,195,26,sandy,rabi,no,cotton
32,85,97,205,28,clay,rabi,no,sugarcane
63,75,28,71,22,loamy,kharif,no,wheat
12,79,78,91,33,loamy,kharif,yes,sugarcane
39,73,66,273,40,loamy,zaid,yes,sugarcane
93,78,65,108,18,sandy,rabi,yes,wheat
11,41,63,191,27,clay,rabi,yes,wheat
35,66,30,101,18,clay,rabi,yes,maize
95,27,60,107,18,clay,rabi,no,maize
76,24,95,88,26,clay,zaid,no,maize
26,25,66,157,25,clay,kharif,no,rice
29,44,38,134,35,loamy,rabi,yes,wheat
48,11,58,81,38,loamy,zaid,yes,rice
20,40,95,286,17,sandy,rabi,no,maize
21,20,20,250,22,loamy,kharif,yes,rice
23,81,50,130,29,clay,rabi,yes,cotton
71,95,29,80,39,loamy,kharif,no,maize
62,43,11,258,36,loamy,zaid,no,rice
80,47,90,119,37,loamy,kharif,no,wheat
88,64,37,127,30,loamy,kharif,yes,wheat
43,39,76,244,24,loamy,kharif,no,wheat
64,87,50,267,16,sandy,rabi,yes,maize
68,35,22,220,32,loamy,kharif,no,wheat
98,32,76,248,38,sandy,kharif,no,cotton
74,66,87,158,34,loamy,kharif,no,sugarcane
33,47,47,264,16,loamy,rabi,no,maize
37,10,19,215,28,loamy,kharif,yes,maize
90,25,99,147,31,loamy,kharif,yes,cotton
33,30,60,289,25,clay,rabi,yes,cotton
53,100,98,175,36,sandy,kharif,no,maize
96,64,33,202,29,sandy,zaid,no,maize
18,65,12,60,39,clay,zaid,yes,sugarcane
52,20,98,255,35,loamy,kharif,yes,rice
42,68,73,205,20,loamy,zaid,yes,cotton
33,55,45,215,40,loamy,zaid,yes,sugarcane
73,34,100,143,25,clay,kharif,no,maize
90,87,20,114,16,sandy,rabi,no,wheat
63,24,45,140,26,loamy,zaid,no,rice
49,49,40,239,16,sandy,zaid,no,sugarcane
43,25,93,178,21,sandy,rabi,no,wheat
18,18,12,233,30,loamy,rabi,no,cotton
45,57,12,164,35,clay,zaid,no,sugarcane
64,92,50,147,36,clay,rabi,yes,sugarcane
73,80,68,253,38,clay,zaid,no,wheat
33,48,23,147,28,clay,zaid,yes,sugarcane
73,71,18,219,35,loamy,kharif,no,rice
45,66,27,67,24,loamy,zaid,no,wheat
40,69,56,203,21,sandy,kharif,yes,sugarcane
29,27,57,147,23,loamy,zaid,no,rice
